#Fecha,Jugador,IDequipo,IDpartido
20180614,Yury Gazinsky,1,1
20180614,Denis Cheryshev,1,1
20180614,Artem Dzyuba,1,1
20180614,Denis Cheryshev,1,1
20180614,Aleksandr Golovin,1,1
20180615,José Giménez,4,2
20180615,Aziz Bouhaddouz,6,3
20180615,Cristiano Ronaldo,7,4
20180615,Cristiano Ronaldo,7,4
20180615,Cristiano Ronaldo,7,4
20180615,Diego Costa,8,4
20180615,Diego Costa,8,4
20180615,Nacho,8,4
20180616,Antoine Griezmann,9,5
20180616,Aziz Behich,9,5
20180616,Mile Jedinak,10,5
20180616,Sergio Agüero,11,6
20180616,Alfreð Finnbogason,11,6
20180616,Yussuf Poulsen,14,7
20180616,Oghenekaro Etebo,15,8
20180616,Luka Modrić,15,8
20180617,Aleksandar Kolarov,18,9
20180617,Hirving Lozano,20,10
20180617,Philippe Coutinho,21,11
20180617,Steven Zuber,22,11
20180618,Andreas Granqvist,23,12
20180618,Dries Mertens,25,13
20180618,Romelu Lukaku,25,13
20180618,Romelu Lukaku,25,13
20180618,Ferjani Sassi,27,14
20180618,Harry Kane,28,14
20180618,Harry Kane,28,14
20180619,Juan Fernando Quintero,29,15
20180619,Shinji Kagawa,30,15
20180619,Yūya Ōsako,30,15
20180619,Grzegorz Krychowiak,31,16
20180619,Thiago Rangel Cionek,32,16
20180619,M'Baye Niang,32,16
20180619,Ahmed Fathy,1,17
20180619,Denís Chéryshev,1,17
20180619,Artiom Dziuba,1,17
20180619,Mohamed Salah,3,17
20180620,Cristiano Ronaldo,7,18
20180620,Luis Alberto Suárez,4,19
20180620,Diego Costa,8,20
20180621,Christian Eriksen,14,21
20180621,Mile Jedinak,10,21
20180621,Kylian Mbappé,9,22
20180621,Ante Rebić,15,23
20180621,Luka Modrić,15,23
20180621,Ivan Rakitić,15,23
20180622,Philippe Coutinho,21,24
20180622,Neymar,21,24
20180622,Ahmed Musa,16,25
20180622,Ahmed Musa,16,25
20180622,Aleksandar Mitrović,18,26
20180622,Granit Xhaka,22,26
20180622,Xherdan Shaqiri,22,26
20180623,Eden Hazard,25,27
20180623,Eden Hazard,25,27
20180623,Romelu Lukaku,25,27
20180623,Romelu Lukaku,25,27
20180623,Michy Batshuayi,25,27
20180623,Dylan Bronn,27,27
20180623,Wahbi Khazri,27,27
20180623,Son Heung,24,28
20180623,Carlos vela,20,28
20180623,Javier Hernández Balcázar,20,28
20180623,Marco Reus,19,29
20180623,Toni Kroos,19,29
20180623,Ola Toivonen,23,29
20180624,John Stones,28,30
20180624,John Stones,28,30
20180624,Harry Kane,28,30
20180624,Harry Kane,28,30
20180624,Harry Kane,28,30
20180624,Jesse Lingard,28,30
20180624,Felipe Baloy,26,30
20180624,Takashi Inui,30,31
20180624,Keisuke Honda,30,31
20180624,Sadio Mané,32,31
20180624,Moussa Wagué,32,31
20180624,Yerry Mina,29,32
20180624,Radamel Falcao García,29,32
20180624,Juan Guillermo Cuadrado,29,32
20180625,Salman Al-Faraj,2,33
20180625,Salem Al-Dawsari,2,33
20180625,Mohamed Salah,3,33
20180625,Luis Alberto Suárez,4,34
20180625,Denís Chéryshev,4,34
20180625,Edinson Cavani,4,34
20180625,Karim Ansarifard,6,35
20180625,Ricardo Quaresma,7,35
20180625,Isco,8,36
20180625,Iago Aspas,8,36
20180625,Khalid Boutaïb,5,36
20180625,Youssef En-Nesyri,5,36
20180626,André Carrillo,13,37
20180626,Paolo Guerrero,13,37
20180626,Victor Moses,16,39
20180626,Lionel Messi,11,39
20180626,Marcos Rojo,11,39
20180626,Gylfi Sigurðsson,12,40
20180626,Milan Badelj,15,40
20180626,Ivan Perišić,15,40
20180627,Ludwig Augustinsson,23,41
20180627,Andreas Granqvist,23,41
20180627,Edson Álvarez,23,41
20180627,Kim Young-gwon,24,42
20180627,Son Heung-min,24,42
20180627,Blerim Džemaili,22,43
20180627,Josip Drmić,22,43
20180627,Kendall Waston,17,43
20180627,Yann Sommer,17,43
20180627,Paulinho,21,44
20180627,Thiago Silva,21,44
20180628,Yerry Mina,29,45
20180628,Jan Bednarek,31,46
20180628,Adnan Januzaj,25,47
20180628,Yassine Meriah,26,48
20180628,Fakhreddine Ben Youssef,27,48
20180628,Wahbi Khazri,27,48
20180630,Antoine Griezmann,9,49
20180630,Benjamin Pavard,9,49
20180630,Kylian Mbappé,9,49
20180630,Kylian Mbappé,9,49
20180630,Angel Di María,11,49
20180630,Gabriel Mercado,11,49
20180630,Sergio Agüero,11,49
20180630,Edinson Cavani,4,50
20180630,Edinson Cavani,4,50
20180630,Pepe,7,50
20180701,Serguéi Ignashévich,8,51
20180701,Artem Dziuba,1,49,51
20180701,Mario Mandžukić,15,52
20180701,Mathias Jørgensen,14,52
20180702,Neymar,21,53
20180702,Roberto Firmino,21,53
20180702,Jan Vertonghen,25,54
20180702,Marouane Fellaini,25,54
20180702,Nacer Chadli,25,54
20180702,Genki Haraguchi,30,54
20180702,Takashi Inui,30,54
20180703,Emil Forsberg,23,55
20180703,Yerry Mina,29,56
20180703,Harry Kane,28,56
20180706,Raphaël Varane,9,57
20180706,Antoine Griezmann,9,57
20180706,Renato Augusto,21,58
20180706,Fernandinho,25,58
20180706,Kevin De Bruyne,25,58
20180707,Harry Maguire,28,59
20180707,Dele Alli,28,59
20180707,Denís Chéryshev,1,60
20180707,Mário Figueira Fernandes,1,60
20180707,Andrej Kramarić,15,60
20180707,Domagoj Vida,15,60
20180710,Samuel Umtiti,9,61
20180711,Ivan Perišić,15,62
20180711,Mario Mandžukić,15,62
20180711,Kieran Trippier,28,62
20180714,Thomas Meunier,25,63
20180714,Eden Hazard,25,63
20180715,Mario Mandžukić,9,64
20180715,Antoine Griezmann,9,64
20180715,Paul Pogba,9,64
20180715,Kylian Mbappé,9,64
20180715,Ivan Perišić,15,64
20180715,Mario Mandžukić,15,64